#Version	Since	List	Item
2.3.0	1.1.0	AccessRights	Open
2.3.0	1.1.0	AccessRights	Restricted
2.3.0	1.3.4	AnnotationType	Anomaly
2.3.0	1.3.4	AnnotationType	Event
2.3.0	1.3.4	AnnotationType	Feature
2.3.0	1.3.6	AssociationType	ChildEventOf
2.3.0	1.3.3	AssociationType	DerivedFrom
2.3.0	1.3.6	AssociationType	ObservedBy
2.3.0	1.3.3	AssociationType	Other
2.3.0	1.3.3	AssociationType	PartOf
2.3.0	1.3.3	AssociationType	RevisionOf
2.3.0	1.1.0	Availability	Offline
2.3.0	1.1.0	Availability	Online
2.3.0	1.3.6	ClassificationMethod	Automatic
2.3.0	1.3.6	ClassificationMethod	Inferred
2.3.0	1.3.6	ClassificationMethod	Inspection
2.3.0	1.3.4	Component	I
2.3.0	1.3.4	Component	J
2.3.0	1.3.4	Component	K
2.3.0	1.3.4	ConfidenceRating	Probable
2.3.0	1.3.4	ConfidenceRating	Strong
2.3.0	1.3.6	ConfidenceRating	Unlikely
2.3.0	1.3.6	ConfidenceRating	Weak
2.3.0	1.1.0	CoordinateRepresentation	Cartesian
2.3.0	1.1.0	CoordinateRepresentation	Cylindrical
2.3.0	1.1.0	CoordinateRepresentation	Spherical
2.3.0	1.1.0	CoordinateSystemName	CGM
2.3.0	1.2.1	CoordinateSystemName	Carrington
2.3.0	1.1.0	CoordinateSystemName	DM
2.3.0	2.2.3	CoordinateSystemName	ECEF
2.3.0	2.2.3	CoordinateSystemName	ENP
2.3.0	1.1.0	CoordinateSystemName	GEI
2.3.0	1.1.0	CoordinateSystemName	GEO
2.3.0	1.1.0	CoordinateSystemName	GSE
2.3.0	1.1.0	CoordinateSystemName	GSEQ
2.3.0	1.1.0	CoordinateSystemName	GSM
2.3.0	1.1.0	CoordinateSystemName	HAE
2.3.0	2.2.0	CoordinateSystemName	HCC
2.3.0	1.2.1	CoordinateSystemName	HCI
2.3.0	2.2.0	CoordinateSystemName	HCR
2.3.0	1.1.0	CoordinateSystemName	HEE
2.3.0	1.1.0	CoordinateSystemName	HEEQ
2.3.0	1.1.0	CoordinateSystemName	HG
2.3.0	1.1.0	CoordinateSystemName	HGI
2.3.0	2.2.0	CoordinateSystemName	HPC
2.3.0	2.2.0	CoordinateSystemName	HPR
2.3.0	1.1.0	CoordinateSystemName	J2000
2.3.0	1.1.0	CoordinateSystemName	LGM
2.3.0	1.1.0	CoordinateSystemName	MAG
2.3.0	1.1.0	CoordinateSystemName	MFA
2.3.0	1.1.0	CoordinateSystemName	RTN
2.3.0	1.1.0	CoordinateSystemName	SC
2.3.0	1.1.0	CoordinateSystemName	SE
2.3.0	1.1.0	CoordinateSystemName	SM
2.3.0	1.1.0	CoordinateSystemName	SR
2.3.0	1.1.0	CoordinateSystemName	SR2
2.3.0	1.1.0	CoordinateSystemName	SSE
2.3.0	2.2.0	CoordinateSystemName	SSE_L
2.3.0	1.2.1	CoordinateSystemName	SpacecraftOrbitPlane
2.3.0	1.2.0	CoordinateSystemName	WGS84
2.3.0	1.3.4	DirectionAngle	AzimuthAngle
2.3.0	1.3.4	DirectionAngle	ElevationAngle
2.3.0	1.3.4	DirectionAngle	PolarAngle
2.3.0	1.3.1	DisplayType	Image
2.3.0	1.3.5	DisplayType	Plasmagram
2.3.0	1.3.1	DisplayType	Spectrogram
2.3.0	1.3.1	DisplayType	StackPlot
2.3.0	1.3.1	DisplayType	TimeSeries
2.3.0	1.3.5	DisplayType	WaveForm
2.3.0	1.3.0	DocumentType	Other 
2.3.0	1.3.0	DocumentType	Poster
2.3.0	1.3.0	DocumentType	Presentation
2.3.0	1.3.0	DocumentType	Report
2.3.0	1.3.0	DocumentType	Specification
2.3.0	1.3.0	DocumentType	TechnicalNote
2.3.0	1.3.0	DocumentType	WhitePaper
2.3.0	1.1.0	Earth	Magnetosheath
2.3.0	1.1.0	Earth	Magnetosphere
2.3.0	2.2.3	Earth	Moon
2.3.0	1.1.0	Earth	NearSurface
2.3.0	1.1.0	Earth	Surface
2.3.0	1.1.0	Encoding	ASCII
2.3.0	1.1.0	Encoding	BZIP2
2.3.0	1.1.0	Encoding	Base64
2.3.0	1.1.0	Encoding	GZIP
2.3.0	1.1.0	Encoding	None
2.3.0	1.3.0	Encoding	S3_BUCKET
2.3.0	2.2.0	Encoding	TAR
2.3.0	1.1.0	Encoding	Unicode
2.3.0	1.1.0	Encoding	ZIP
2.3.0	1.2.1	FieldQuantity	Current
2.3.0	1.1.0	FieldQuantity	Electric
2.3.0	1.3.0	FieldQuantity	Electromagnetic
2.3.0	1.2.1	FieldQuantity	Gyrofrequency
2.3.0	1.1.0	FieldQuantity	Magnetic
2.3.0	1.2.1	FieldQuantity	PlasmaFrequency
2.3.0	1.1.0	FieldQuantity	Potential
2.3.0	1.1.0	FieldQuantity	PoyntingFlux
2.3.0	1.1.0	Format	AVI
2.3.0	1.1.0	Format	Binary
2.3.0	1.1.0	Format	CDF
2.3.0	1.1.0	Format	CEF 1
2.3.0	1.1.0	Format	CEF 2
2.3.0	1.1.0	Format	CEF
2.3.0	2.2.0	Format	Excel
2.3.0	1.1.0	Format	FITS
2.3.0	1.1.0	Format	GIF
2.3.0	1.1.0	Format	HDF 4
2.3.0	1.1.0	Format	HDF 5
2.3.0	1.1.0	Format	HDF
2.3.0	1.1.0	Format	HTML
2.3.0	2.2.0	Format	Hardcopy
2.3.0	1.1.0	Format	IDFS
2.3.0	1.1.0	Format	IDL
2.3.0	1.1.0	Format	JPEG
2.3.0	1.1.0	Format	MATLAB_4
2.3.0	1.1.0	Format	MATLAB_6
2.3.0	1.1.0	Format	MATLAB_7
2.3.0	1.1.0	Format	MPEG
2.3.0	1.1.0	Format	NCAR
2.3.0	1.1.0	Format	NetCDF
2.3.0	1.1.0	Format	PDF
2.3.0	1.1.0	Format	PNG
2.3.0	1.2.0	Format	Postscript
2.3.0	1.1.0	Format	QuickTime
2.3.0	1.1.0	Format	TIFF
2.3.0	1.1.0	Format	Text
2.3.0	1.1.0	Format	UDF
2.3.0	1.1.0	Format	VOTable
2.3.0	1.1.0	Format	XML
2.3.0	2.2.0	Hardcopy	Film
2.3.0	2.2.0	Hardcopy	Microfiche
2.3.0	2.2.0	Hardcopy	Microfilm
2.3.0	2.2.0	Hardcopy	Photograph
2.3.0	2.2.0	Hardcopy	PhotographicPlate
2.3.0	2.2.0	Hardcopy	Print
2.3.0	1.2.0	HashFunction	MD5
2.3.0	1.2.0	HashFunction	SHA1
